il,ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,ilce,mahalle,lat,lon,harita,osm_id
Ankara,Marco Pasha,cafe,,,,,,,,,,,39.9230163,32.8257488,"https://www.google.com/maps/search/?api=1&query=39.9230163,32.8257488",node/1901406667
Ankara,Marina Brasserie Cafe,bar,,,,,,,,,,,39.7838871,32.8024368,"https://www.google.com/maps/search/?api=1&query=39.7838871,32.8024368",node/13746086901
Ankara,Marmara Tabldot Restoran,restaurant,,,http://kafemud.bilkent.edu.tr/monu_tr.html,,"08:00-10:30,11:30-14:30,17:00-20:00",,,1609. Sk.,,,39.8706019,32.7506085,"https://www.google.com/maps/search/?api=1&query=39.8706019,32.7506085",node/2722534618
Ankara,Marmaris Balıkçısı,restaurant,,,,,,,,,,,39.9064382,32.8599786,"https://www.google.com/maps/search/?api=1&query=39.9064382,32.8599786",node/4617561928
Ankara,Marrakesh,restaurant,,,,,,,,,,,39.9667738,32.6366461,"https://www.google.com/maps/search/?api=1&query=39.9667738,32.6366461",node/12973906284
Ankara,Marrakesh Garden Etlik,cafe,pizza;coffee_shop;burger,+90 544 428 03 03,www.marrakeshgardenetlik.com,,Mo-Su 09:00-01:00,yes,yes,Yavrukurt Sk. No: 12/A,Keçiören,Emrah Mah.,39.9712178,32.8381797,"https://www.google.com/maps/search/?api=1&query=39.9712178,32.8381797",node/12777038787
Ankara,Maruf Usta'nın Hünerli Elleri,restaurant,,,,,,,,319. Cadde,,,39.7871623,32.8070022,"https://www.google.com/maps/search/?api=1&query=39.7871623,32.8070022",node/13745998901
Ankara,Masadabiz,restaurant,,,,,,,,,,,39.8596743,32.6754071,"https://www.google.com/maps/search/?api=1&query=39.8596743,32.6754071",node/13808605644
Ankara,Masha Meshe,cafe,,,,,,,,,,,39.8540073,32.6514058,"https://www.google.com/maps/search/?api=1&query=39.8540073,32.6514058",node/10047888807
Ankara,Matbaa,cafe,,,,,,,,,,,39.9304888,32.8561671,"https://www.google.com/maps/search/?api=1&query=39.9304888,32.8561671",node/6402213614
Ankara,Matematik Kantini,fast_food,,,,,,,,,,,39.8956551,32.7823758,"https://www.google.com/maps/search/?api=1&query=39.8956551,32.7823758",node/3836440364
Ankara,Mavi Tuna,cafe,,,,,,,,,,,39.9663515,32.8667276,"https://www.google.com/maps/search/?api=1&query=39.9663515,32.8667276",node/12358888801
Ankara,Mavi Yeşil,ice_cream,,,,,,,,,,,39.9489083,32.6273805,"https://www.google.com/maps/search/?api=1&query=39.9489083,32.6273805",node/13918216840
Ankara,Maviş Pastanesi,cafe,,,,,,,,,,,39.9337501,32.9089778,"https://www.google.com/maps/search/?api=1&query=39.9337501,32.9089778",node/2361869438
Ankara,Maxburger,fast_food,,,,,,,,,,,39.9363000,32.6368386,"https://www.google.com/maps/search/?api=1&query=39.9363000,32.6368386",node/13782790661
Ankara,May,cafe,,,,,,,,,,,39.8727990,32.8600001,"https://www.google.com/maps/search/?api=1&query=39.8727990,32.8600001",node/4627366905
Ankara,Maya Dürüm & Lahmacun,restaurant,,,,,,,,,,,39.9608565,32.7095321,"https://www.google.com/maps/search/?api=1&query=39.9608565,32.7095321",node/12786386079
Ankara,Maydanoz Döner,fast_food,kebab,,,,,,,,,,39.8918156,32.7889712,"https://www.google.com/maps/search/?api=1&query=39.8918156,32.7889712",node/715454932
Ankara,Maydanoz Döner,fast_food,döner,,,,,,,,,,40.0378079,32.8489440,"https://www.google.com/maps/search/?api=1&query=40.0378079,32.8489440",node/13605398757
Ankara,Maydonoz döner,fast_food,turkish;chicken,,,,,,,,,,39.8299848,32.7349735,"https://www.google.com/maps/search/?api=1&query=39.8299848,32.7349735",node/10312458236
Ankara,Maydonoz Döner,fast_food,,,,,,,,,,,39.9640538,32.6061954,"https://www.google.com/maps/search/?api=1&query=39.9640538,32.6061954",node/12957871151
Ankara,Maydonoz Döner,fast_food,,,,,,,,,,,39.9882193,32.6547668,"https://www.google.com/maps/search/?api=1&query=39.9882193,32.6547668",node/13179287461
Ankara,Maydonoz Döner,fast_food,kebab,,,,,,,,,,39.8583578,32.6361183,"https://www.google.com/maps/search/?api=1&query=39.8583578,32.6361183",node/13783788468
Ankara,Mazi Kahvesi,cafe,,,,,,,,,,,39.9765751,32.6483953,"https://www.google.com/maps/search/?api=1&query=39.9765751,32.6483953",way/343979238
Ankara,Maşa,restaurant,turkish,,,,,,,,,,39.8975711,32.8579987,"https://www.google.com/maps/search/?api=1&query=39.8975711,32.8579987",node/1658126772
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.8941700,32.6794717,"https://www.google.com/maps/search/?api=1&query=39.8941700,32.6794717",node/403041827
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.9181473,32.8555182,"https://www.google.com/maps/search/?api=1&query=39.9181473,32.8555182",node/1199442113
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.8970461,32.8167971,"https://www.google.com/maps/search/?api=1&query=39.8970461,32.8167971",node/2286407813
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.8727125,32.8614204,"https://www.google.com/maps/search/?api=1&query=39.8727125,32.8614204",node/4065224294
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.8481143,32.8338851,"https://www.google.com/maps/search/?api=1&query=39.8481143,32.8338851",node/4614856663
Ankara,McDonald's,fast_food,burger,,,,"PH,Mo-Su 09:00-23:00",,,,,,39.9219359,32.8544811,"https://www.google.com/maps/search/?api=1&query=39.9219359,32.8544811",node/4621720962
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.9205408,32.8528467,"https://www.google.com/maps/search/?api=1&query=39.9205408,32.8528467",node/4621720965
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.9098330,32.7778977,"https://www.google.com/maps/search/?api=1&query=39.9098330,32.7778977",node/4678974449
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.9090450,32.7758968,"https://www.google.com/maps/search/?api=1&query=39.9090450,32.7758968",node/4678974480
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.9506355,32.8320435,"https://www.google.com/maps/search/?api=1&query=39.9506355,32.8320435",node/4679476627
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.9689135,32.7169374,"https://www.google.com/maps/search/?api=1&query=39.9689135,32.7169374",node/4751795602
Ankara,McDonald's,fast_food,burger,,,,,,,Şehit Eren Bülbül Caddesi 42/B;26-27,Çankaya,Alacaatlı,39.8542457,32.6568779,"https://www.google.com/maps/search/?api=1&query=39.8542457,32.6568779",node/11169230789
Ankara,McDonald's,fast_food,burger,,,,Mo-Su 10:00-02:00,,,,,,39.8772260,32.8363101,"https://www.google.com/maps/search/?api=1&query=39.8772260,32.8363101",node/11206702665
Ankara,McDonald's,fast_food,burger,,,,,,,Bağlar Cd.,,,39.8250139,32.7088660,"https://www.google.com/maps/search/?api=1&query=39.8250139,32.7088660",node/12000740669
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.9814525,32.8224997,"https://www.google.com/maps/search/?api=1&query=39.9814525,32.8224997",node/12150239814
Ankara,McDonald's,fast_food,burger,,,,,no,,,,,39.8775728,32.8635594,"https://www.google.com/maps/search/?api=1&query=39.8775728,32.8635594",node/12175129401
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.9805987,32.6592235,"https://www.google.com/maps/search/?api=1&query=39.9805987,32.6592235",node/13089435857
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.9210949,32.8263396,"https://www.google.com/maps/search/?api=1&query=39.9210949,32.8263396",node/13121387903
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.9784927,32.6267534,"https://www.google.com/maps/search/?api=1&query=39.9784927,32.6267534",node/13141692428
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.8667475,32.6784710,"https://www.google.com/maps/search/?api=1&query=39.8667475,32.6784710",node/13787903570
Ankara,McDonald's,fast_food,burger,,,,,,,,,,39.8049280,32.8032963,"https://www.google.com/maps/search/?api=1&query=39.8049280,32.8032963",way/479302181
Ankara,McDonald's,fast_food,burger,,,,,,,,,,40.0002831,32.6430082,"https://www.google.com/maps/search/?api=1&query=40.0002831,32.6430082",way/1363682536
Ankara,Meandros,restaurant,,,,,,,,,,,39.8949979,32.8720815,"https://www.google.com/maps/search/?api=1&query=39.8949979,32.8720815",node/321680862
Ankara,MEAT MAX SOKAK LEZZETLERİ,restaurant,barbecue;chicken;grill;kebab;mediterranean;tea,+90 505 933 00 33,,meatmaxankara06,Mo-Su 11:00-02:00,,wlan,1904 Cadde 11C/5,,,39.9363603,32.6368116,"https://www.google.com/maps/search/?api=1&query=39.9363603,32.6368116",node/13431040801
Ankara,Megabite,restaurant,turkish,,,,,,,,,,39.8980526,32.7703899,"https://www.google.com/maps/search/?api=1&query=39.8980526,32.7703899",node/9969195523
Ankara,Melek Cafem,cafe,,+90 312 235 05 02,http://www.melekcafem.com,,10:00 - 02:00,,yes,,,,39.8962406,32.7048241,"https://www.google.com/maps/search/?api=1&query=39.8962406,32.7048241",node/2271529297
Ankara,Melek Cafem,cafe,,,,,,,,,,,39.8962499,32.7049487,"https://www.google.com/maps/search/?api=1&query=39.8962499,32.7049487",way/1380839673
Ankara,Memo Pide Kebap,restaurant,,,,,,,,,,,39.9114903,32.9046462,"https://www.google.com/maps/search/?api=1&query=39.9114903,32.9046462",node/4290718107
Ankara,Menendi Pastanesi,cafe,tea;cake;dessert,+90 312 440 6093,,,,,,Kuzgun Caddesi 89/A,Çankaya,Aziziye,39.8951471,32.8499927,"https://www.google.com/maps/search/?api=1&query=39.8951471,32.8499927",node/13457655057
Ankara,Mengen Müdür,restaurant,turkish,,,,,,,,,,39.8570314,32.6453418,"https://www.google.com/maps/search/?api=1&query=39.8570314,32.6453418",node/10286231791
Ankara,Mengenli Et,restaurant,,,,,,,,195. Cadde,,Macun Mahallesi,39.9462496,32.7666142,"https://www.google.com/maps/search/?api=1&query=39.9462496,32.7666142",way/582431147
Ankara,Meral'in Mutfağı,restaurant,,,,,,,,Nisan Sokak,Çankaya,Harbiye Mahallesi,39.8954912,32.8388905,"https://www.google.com/maps/search/?api=1&query=39.8954912,32.8388905",node/9608483605
Ankara,MerhaBalık,restaurant,fish,,,,,,,,,,39.9535081,32.7347195,"https://www.google.com/maps/search/?api=1&query=39.9535081,32.7347195",node/13059147422
Ankara,Merkez kantin,cafe,,,,,,,,,,,39.9358460,32.8312070,"https://www.google.com/maps/search/?api=1&query=39.9358460,32.8312070",node/1198297518
Ankara,Merkez Lokantası,restaurant,,,,,,,,,,,39.9674409,32.7914014,"https://www.google.com/maps/search/?api=1&query=39.9674409,32.7914014",node/10892776972
Ankara,Mersinli Ciğerci Apo,restaurant,,,,,,,,,,,39.9096515,32.8180372,"https://www.google.com/maps/search/?api=1&query=39.9096515,32.8180372",node/11366992185
Ankara,Mesele,restaurant,,,,,,,,,,,39.8674970,32.8567654,"https://www.google.com/maps/search/?api=1&query=39.8674970,32.8567654",node/6308884639
Ankara,Metro Express,fast_food,,,,,,,,,,,39.9807224,32.6487041,"https://www.google.com/maps/search/?api=1&query=39.9807224,32.6487041",node/12863474960
Ankara,Metrokent Pide & Kebap,restaurant,,,,,,,,,,,39.9811953,32.6471482,"https://www.google.com/maps/search/?api=1&query=39.9811953,32.6471482",node/13909295124
Ankara,Mevlana,restaurant,,,,,,,,,,,39.9697719,32.8088439,"https://www.google.com/maps/search/?api=1&query=39.9697719,32.8088439",node/3885182129
Ankara,Mevlana Pide Kebap,restaurant,,+90 312 264 66 67,,,,,,,,,39.9502222,32.5954630,"https://www.google.com/maps/search/?api=1&query=39.9502222,32.5954630",node/4435581790
Ankara,Mevlana Pide Kebap,restaurant,kebab;turkish,,,,,,,Cumhuriyet Caddesi,,,39.7929396,32.8213806,"https://www.google.com/maps/search/?api=1&query=39.7929396,32.8213806",node/13770850504
Ankara,Mevlana Pide Kebap Salonu,restaurant,,,,,,,,,,,39.9358260,32.6365763,"https://www.google.com/maps/search/?api=1&query=39.9358260,32.6365763",node/13782790684
Ankara,Meydan 1957,fast_food,kebab,,,,,,,,,,39.9372887,32.8638863,"https://www.google.com/maps/search/?api=1&query=39.9372887,32.8638863",node/11111952610
Ankara,Meydan Piknik,restaurant,,+90 312 475 17 03,,,,,,,,,39.8698335,32.8274970,"https://www.google.com/maps/search/?api=1&query=39.8698335,32.8274970",node/11206702641
Ankara,Meze Evi,restaurant,regional;turkish,,,,Mo-Sa 08:00-20:00,yes,,Kahramankadın Sk.,,,39.8932849,32.8789872,"https://www.google.com/maps/search/?api=1&query=39.8932849,32.8789872",node/5248865097
Ankara,Mezzaluna,restaurant,italian,,,,,,,Turan Emeksiz Caddesi 1,Çankaya,,39.8974737,32.8638741,"https://www.google.com/maps/search/?api=1&query=39.8974737,32.8638741",node/4226492914
Ankara,Mezzaluna,restaurant,italian,,https://www.mezzaluna.com.tr/en/sube/bilkent/contact.aspx,,,,,,Çankaya,Üniversiteler Mahallesi,39.8835127,32.7566992,"https://www.google.com/maps/search/?api=1&query=39.8835127,32.7566992",node/11446276165
Ankara,Meşhur Adıyaman Çiğ Köftecisi,fast_food,turkish,,,,,,,,,,39.8964440,32.8792766,"https://www.google.com/maps/search/?api=1&query=39.8964440,32.8792766",node/813193179
Ankara,Meşhur Adıyaman Çiğköftecisi,fast_food,,,,,,,,Celal Esat Arseven Caddesi 135,,,39.9727745,32.8895372,"https://www.google.com/maps/search/?api=1&query=39.9727745,32.8895372",node/4224984495
Ankara,Meşhur Adıyaman Çiğköftecisi,fast_food,,,,,,,,,,,39.8726857,32.8599974,"https://www.google.com/maps/search/?api=1&query=39.8726857,32.8599974",node/4627366906
Ankara,Meşhur Adıyaman Çiğköftecisi,restaurant,,,,,,,,,,,39.8974648,32.8489286,"https://www.google.com/maps/search/?api=1&query=39.8974648,32.8489286",node/13526382101
Ankara,Meşhur Adıyaman Çiğköftecisi,fast_food,,,,,,,,,,,39.9530705,32.6333686,"https://www.google.com/maps/search/?api=1&query=39.9530705,32.6333686",node/13675925729
Ankara,Meşhur Adıyaman Çiğköftecisi Ahmet Aybak,fast_food,,,,,,,,,,,39.9477834,32.6577317,"https://www.google.com/maps/search/?api=1&query=39.9477834,32.6577317",node/13947821927
Ankara,Meşhur Adıyaman Çiğköftecisi Bayram Usta,fast_food,,,,,,,,,,,39.9391631,32.6192192,"https://www.google.com/maps/search/?api=1&query=39.9391631,32.6192192",node/13479980796
Ankara,Meşhur Adıyaman Çiğköftecisi Bayram Usta,fast_food,,,,,,,,,,,39.9477427,32.6581074,"https://www.google.com/maps/search/?api=1&query=39.9477427,32.6581074",node/13947821915
Ankara,Meşhur Adıyaman Çiğköftecisi Bayram Usta Alsancak,restaurant,çiğköfte;çiğ_köfte;yayık_tereyağ;lokma_tatlısi;tulumba;süzme_yoğurt,+90 312 244 70 69,,,10:30-23:00,,,Mehmet Akif Ersoy Caddesi 28/B,etimesgut,alsancak mahallesi,39.9339885,32.6499678,"https://www.google.com/maps/search/?api=1&query=39.9339885,32.6499678",node/10902312071
Ankara,Meşhur Adıyaman Çiğköftecisi İdris Usta,fast_food,,,,,,,,,,,39.9506308,32.6328054,"https://www.google.com/maps/search/?api=1&query=39.9506308,32.6328054",node/13675925713
Ankara,Meşhur Adıyaman Çiğköftecisi Samet Usta,fast_food,,,,,,,,,,,39.9543483,32.6140638,"https://www.google.com/maps/search/?api=1&query=39.9543483,32.6140638",node/13626789013
Ankara,Meşhur Adıyaman Çiğköftecisi Ömer Aybak,restaurant,turkish,,,,,,,,,,39.9583678,32.8342196,"https://www.google.com/maps/search/?api=1&query=39.9583678,32.8342196",node/9415342031
Ankara,Meşhur Adıyaman Çiğköftecisi Şampiyon Usta,fast_food,,,,,,,,,,,39.9349777,32.6522040,"https://www.google.com/maps/search/?api=1&query=39.9349777,32.6522040",node/13727018665
Ankara,Meşhur Adıyamanlı Çiğköftecisi Samet Usta,fast_food,,,,,,,,,,,39.9486433,32.6260481,"https://www.google.com/maps/search/?api=1&query=39.9486433,32.6260481",node/13918216807
Ankara,Meşhur Agah Efendi,restaurant,,,,,,,,,,,39.9464282,32.6573207,"https://www.google.com/maps/search/?api=1&query=39.9464282,32.6573207",node/13947804389
Ankara,Meşhur Aspava,restaurant,kebab,,,,,,,,,,39.8926956,32.7884815,"https://www.google.com/maps/search/?api=1&query=39.8926956,32.7884815",node/2677063716
Ankara,Meşhur Balıkçı Mithat,restaurant,,,,,,,,,,,40.1877596,31.3506475,"https://www.google.com/maps/search/?api=1&query=40.1877596,31.3506475",way/1343178728
Ankara,Meşhur Ciğerci Apo,restaurant,arnavut_ciğeri,+90 546 238 13 16,,,Mo-Fr 09:00-17:00,,,Tesviyeciler Caddesi,Altındağ,tesviyeciler cad. iskitler,39.9483882,32.8439609,"https://www.google.com/maps/search/?api=1&query=39.9483882,32.8439609",node/7121872194
Ankara,Meşhur Ciğerci Apo,restaurant,,,,,,,,,,,39.8947630,32.7037138,"https://www.google.com/maps/search/?api=1&query=39.8947630,32.7037138",node/9806051218
Ankara,Meşhur Gülçimen Aspava,restaurant,turkish,,,,,,,,,,39.9728782,32.6568701,"https://www.google.com/maps/search/?api=1&query=39.9728782,32.6568701",node/12310208388
Ankara,Meşhur Gülçimen Aspava ESAT,restaurant,,,,,,,,Esat Cd. 110,,,39.9064932,32.8665804,"https://www.google.com/maps/search/?api=1&query=39.9064932,32.8665804",node/9599039242
Ankara,Meşhur İnegöl Köfte,restaurant,,,,,,,,,,,39.9654898,32.8115566,"https://www.google.com/maps/search/?api=1&query=39.9654898,32.8115566",node/1863719068
Ankara,Meşhur İstanbul Pilavcısı,restaurant,,,,,,,,Konur Sokak 21,,,39.9182129,32.8564308,"https://www.google.com/maps/search/?api=1&query=39.9182129,32.8564308",node/14026436701
Ankara,Meşhur Polat Aspava,restaurant,,,,,,,,Kazakistan Caddesi,,,39.9244127,32.8224698,"https://www.google.com/maps/search/?api=1&query=39.9244127,32.8224698",node/13803041402
Ankara,Meşhur Polatlı Çorba ve Sakatat,restaurant,,,,,,,wlan,Nasreddin Hoca Bulvarı,,,39.5738255,32.1287311,"https://www.google.com/maps/search/?api=1&query=39.5738255,32.1287311",node/12886158401
Ankara,Meşhur Sanayi Köftecisi,restaurant,barbecue;köfte,+903122868880,,,11:00-22:00,,,1421. Cadde No: 5,Çankaya,,39.9117796,32.8204535,"https://www.google.com/maps/search/?api=1&query=39.9117796,32.8204535",node/2286418253
Ankara,Meşhur Urfa Kebapçısı,restaurant,,,,,,,,,,,40.0053746,32.5258122,"https://www.google.com/maps/search/?api=1&query=40.0053746,32.5258122",node/13938761224
Ankara,Meşhur Van Kahvaltısı,cafe,,,,,,,,,,,39.8709926,32.8589487,"https://www.google.com/maps/search/?api=1&query=39.8709926,32.8589487",node/4627366930
Ankara,Meşhur Ömer Aybak Adıyaman Çiğköftecisi,fast_food,,,,,,,,,,,39.7838529,32.8231835,"https://www.google.com/maps/search/?api=1&query=39.7838529,32.8231835",node/13746278401
Ankara,Meşhur Öz Dürümcü Aspava,restaurant,,,,,,,,,,,39.8519139,32.8543027,"https://www.google.com/maps/search/?api=1&query=39.8519139,32.8543027",node/4614884034
Ankara,Meşhur Özçelik Aspava,restaurant,regional,,https://ozcelikaspava.com/,,,,,Belligün Caddesi 10,,,39.9065624,32.8692653,"https://www.google.com/maps/search/?api=1&query=39.9065624,32.8692653",node/4620215909
Ankara,Meşhur Özçelik Aspava,fast_food,kebab,,,,,,,,,,39.8050948,32.8023939,"https://www.google.com/maps/search/?api=1&query=39.8050948,32.8023939",node/12016409647
Ankara,Meşhur Ülgerler Aspava,restaurant,,+90 312 229 71 70,https://www.ulgerleraspavaetlik.com,https://www.instagram.com/meshurulgerleraspavaetlik,Mo-Su 11:00-23:00,,,Halil Sezai Erkut Caddesi 7/3,Yenimahalle,Varlık,39.9685952,32.8197813,"https://www.google.com/maps/search/?api=1&query=39.9685952,32.8197813",node/13330284159
Ankara,Midas Kafe,cafe,,,,,,,,,,,39.5842985,32.1420828,"https://www.google.com/maps/search/?api=1&query=39.5842985,32.1420828",node/1864884015
Ankara,Midpoint,restaurant,,,,,,,,,,,39.8484246,32.8329690,"https://www.google.com/maps/search/?api=1&query=39.8484246,32.8329690",node/824367614
Ankara,Midpoint,restaurant,,,https://www.midpoint.com.tr/,,,,,,,,39.8833070,32.7588034,"https://www.google.com/maps/search/?api=1&query=39.8833070,32.7588034",node/11435148969
Ankara,Midyeci Ahmet,restaurant,,,,,,,,,,,39.9248217,32.8252038,"https://www.google.com/maps/search/?api=1&query=39.9248217,32.8252038",node/6782670885
Ankara,Mikado Ramen,restaurant,asian;ramen,,,mikadoramen,Mo-Su 12:00-21:00,,,49. Sokak 10/A,,,39.9281362,32.8248011,"https://www.google.com/maps/search/?api=1&query=39.9281362,32.8248011",node/13827563501
Ankara,Mila Cafe Bistro,cafe,,,,,,,,3/1,,,39.9919776,32.6460926,"https://www.google.com/maps/search/?api=1&query=39.9919776,32.6460926",way/423632655
Ankara,Milado Dondurma Waffle,ice_cream,,,,,,,,,,,39.9701331,32.7145043,"https://www.google.com/maps/search/?api=1&query=39.9701331,32.7145043",node/13471568937
Ankara,Milet Coffee,cafe,,,,,,,,Oğuzhan Asiltürk Caddesi,,,39.9247591,32.8230054,"https://www.google.com/maps/search/?api=1&query=39.9247591,32.8230054",node/13803049601
Ankara,Mimarlık Kantini,fast_food,,,,,,,,,,,39.8976188,32.7817599,"https://www.google.com/maps/search/?api=1&query=39.8976188,32.7817599",node/4622917822
Ankara,Minister Pub,pub,,,,,,,,,,,39.9063896,32.8621876,"https://www.google.com/maps/search/?api=1&query=39.9063896,32.8621876",node/13112065756
Ankara,Minna's Hot Spot Bistro,restaurant,bistro,,,,,,,11,,,39.8976000,32.8664221,"https://www.google.com/maps/search/?api=1&query=39.8976000,32.8664221",node/310402862
Ankara,Mirita Dondurma,ice_cream,,,,,,yes,,Şehit Eren Bülbül Caddesi 42/B;28,Çankaya,Alacaatlı,39.8541644,32.6568270,"https://www.google.com/maps/search/?api=1&query=39.8541644,32.6568270",node/11169230788
Ankara,Mirket Kitap & Plak & Atölye,cafe,,,,,,,,,,,39.8936284,32.8578566,"https://www.google.com/maps/search/?api=1&query=39.8936284,32.8578566",node/12539191138
Ankara,Mis Başak,restaurant,,,,,,,,,,,39.9882382,32.8202865,"https://www.google.com/maps/search/?api=1&query=39.9882382,32.8202865",node/3885040053
Ankara,Mis Başak Restaurant,restaurant,turkish;tea;bagel;cake;coffee_shop;breakfast;kebab;burger;pancake,,,,,,wlan,,,,39.9083524,32.8095944,"https://www.google.com/maps/search/?api=1&query=39.9083524,32.8095944",node/4653287089
Ankara,Mis Gurme Ev Yemekleri,restaurant,turkish;regional,,,,,,,,,,39.9584839,32.8342883,"https://www.google.com/maps/search/?api=1&query=39.9584839,32.8342883",node/9415342029
Ankara,Misbaşak,cafe,,,,,,,,,,,39.7883729,32.8357385,"https://www.google.com/maps/search/?api=1&query=39.7883729,32.8357385",node/12587984610
Ankara,Misbaşak,cafe,,,,,,,,,,,39.9746321,32.7689577,"https://www.google.com/maps/search/?api=1&query=39.9746321,32.7689577",node/13543472535
Ankara,Misbaşak,cafe,,,,,,,,,,,39.7883739,32.8357391,"https://www.google.com/maps/search/?api=1&query=39.7883739,32.8357391",way/901695677
Ankara,Misbaşak,cafe,,,,,,,,100. Yıl Bulvarı 34,,,39.9668050,32.7470142,"https://www.google.com/maps/search/?api=1&query=39.9668050,32.7470142",way/1484020219
Ankara,Miso Ramen Ankara,restaurant,japanese;asian,,https://misoramenankara.qr.menulux.com/#!/,misoramen.ankara,Tu-Su 12:00-22:00,,,Büklüm Caddesi 16,,Kavaklıdere Mahallesi,39.9110907,32.8589659,"https://www.google.com/maps/search/?api=1&query=39.9110907,32.8589659",node/11262814983
Ankara,MKM Kültür Kafe,cafe,,,,,,,,,,,39.9353102,32.8767372,"https://www.google.com/maps/search/?api=1&query=39.9353102,32.8767372",node/14024055501
Ankara,Mocaco,cafe,,,,,,,,,,,39.9312266,32.8260134,"https://www.google.com/maps/search/?api=1&query=39.9312266,32.8260134",node/309903643
Ankara,Moltobene,restaurant,italian;pasta,,,,,,wlan,,,,39.7825027,32.8120218,"https://www.google.com/maps/search/?api=1&query=39.7825027,32.8120218",node/13745538202
Ankara,Mozaic,cafe,,,,,,,,,,,39.9661994,32.8659174,"https://www.google.com/maps/search/?api=1&query=39.9661994,32.8659174",node/12358888802
Ankara,Mozaik Kebap,restaurant,,+90 312 476 03 02,http://www.mozaikkebap.com/,,"Mo-Fr 09:00-22:00, Sa-Su 09:00-22:30",,,,,,39.8696645,32.8273802,"https://www.google.com/maps/search/?api=1&query=39.8696645,32.8273802",node/4362548364
Ankara,Mozart Cafe,cafe,,,,,Mo-Fr 08:00-17:30,,wlan,,,,39.8720821,32.7510684,"https://www.google.com/maps/search/?api=1&query=39.8720821,32.7510684",node/2052347592
Ankara,Mozart Cafe,cafe,,,http://www.mozartcafe.com.tr/,,Mo-Fr 08:00-19:00,,wlan,,,,39.8688679,32.7481628,"https://www.google.com/maps/search/?api=1&query=39.8688679,32.7481628",node/2052351702
Ankara,Mozart Cafe,cafe,,,,,Mo-Sa 08:00-20:00; Su 09:00-18:00,,wlan,,,,39.8695452,32.7550274,"https://www.google.com/maps/search/?api=1&query=39.8695452,32.7550274",node/4326349625
Ankara,Mozart Cafe,cafe,,,,,Mo-Fr 07:30-17:00,,wlan,,,,39.8706239,32.7647853,"https://www.google.com/maps/search/?api=1&query=39.8706239,32.7647853",node/4326349626
Ankara,Mozart Cafe,cafe,,,,,Mo-Fr 07:30-17:00,,wlan,,,,39.8713650,32.7641845,"https://www.google.com/maps/search/?api=1&query=39.8713650,32.7641845",node/4326349627
Ankara,Mr. Ice Roll Tava Dondurma,ice_cream,,,,,,,,61. Cadde,,,39.9235086,32.8262395,"https://www.google.com/maps/search/?api=1&query=39.9235086,32.8262395",node/13970194803
Ankara,Mrada Cafe,cafe,,,,,,,,,,,39.9914122,32.6455019,"https://www.google.com/maps/search/?api=1&query=39.9914122,32.6455019",way/423632624
Ankara,MSB Çankaya Lojmanları Sosyal Tesisleri,fast_food,,,,,,,,,,,39.8872355,32.8693945,"https://www.google.com/maps/search/?api=1&query=39.8872355,32.8693945",way/1197059398
Ankara,Muazzam,restaurant,,,,,,,,,,,39.9904020,32.6439895,"https://www.google.com/maps/search/?api=1&query=39.9904020,32.6439895",node/12879421866
Ankara,Muddy Waters,bar,italian;italian_pizza;mexican;pizza,,,,,,,,,,39.9162534,32.8580772,"https://www.google.com/maps/search/?api=1&query=39.9162534,32.8580772",node/9049971617
Ankara,Mug Kafe,cafe,,,,,,,,,,,39.9192618,32.7970820,"https://www.google.com/maps/search/?api=1&query=39.9192618,32.7970820",way/1146919226
Ankara,Muse,cafe,coffee_shop,,,,,yes,,,,,39.8650564,32.8594971,"https://www.google.com/maps/search/?api=1&query=39.8650564,32.8594971",node/4886017500
Ankara,Must Coffee,cafe,coffee_shop,,,,,,,"3438. Cadde 8E,2O",Çankaya,Alacaatlı,39.8486502,32.6357146,"https://www.google.com/maps/search/?api=1&query=39.8486502,32.6357146",node/13634454484
Ankara,Mustafa Beşler Közde Piliç,restaurant,chicken,,,,,,,,,,39.9729671,32.7541060,"https://www.google.com/maps/search/?api=1&query=39.9729671,32.7541060",node/12162401429
Ankara,Mutlu Döner,restaurant,,,,,,,,,,,39.9230783,32.8502052,"https://www.google.com/maps/search/?api=1&query=39.9230783,32.8502052",node/4346957209
