il,ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,ilce,mahalle,lat,lon,harita,osm_id
Adana,Burger King,fast_food,burger,,,,,,,,,,36.9910552,35.3255143,"https://www.google.com/maps/search/?api=1&query=36.9910552,35.3255143",node/3581453993
Adana,Burger King,fast_food,burger,,,,Mo-Su 10:30-22:00,,wlan,,,,36.9973494,35.3209354,"https://www.google.com/maps/search/?api=1&query=36.9973494,35.3209354",node/3581453998
Adana,Burger King,fast_food,burger,,,,,,,,,,36.9908265,35.3396109,"https://www.google.com/maps/search/?api=1&query=36.9908265,35.3396109",node/3581454001
Adana,Burger King,fast_food,burger,,,,Mo-Su 10:00-22:30,,,Şehitler Bulvarı 34,Çukurova,Mahfesığmaz Mahallesi,37.0360032,35.3071826,"https://www.google.com/maps/search/?api=1&query=37.0360032,35.3071826",node/4362441693
Adana,Burger King,fast_food,burger,,,,,,,,,,37.0488052,35.2873911,"https://www.google.com/maps/search/?api=1&query=37.0488052,35.2873911",node/4753351622
Adana,Burger King,fast_food,burger,,,,,,,,,,37.0508372,35.2992133,"https://www.google.com/maps/search/?api=1&query=37.0508372,35.2992133",node/11394661810
Adana,Burger King,fast_food,burger,,,,,,,,,,37.0222252,35.8200181,"https://www.google.com/maps/search/?api=1&query=37.0222252,35.8200181",way/1424436561
Adana,Burgers,cafe,,,,,,,,,,,36.5682344,35.3838386,"https://www.google.com/maps/search/?api=1&query=36.5682344,35.3838386",node/10816371426
Adana,Cafe Ekinoks,cafe,,,,,,,,,,,36.9956191,35.3238812,"https://www.google.com/maps/search/?api=1&query=36.9956191,35.3238812",node/4567420034
Adana,Cafe Nehir,fast_food,,,,,,,,,,,37.0488702,35.2823253,"https://www.google.com/maps/search/?api=1&query=37.0488702,35.2823253",node/7417421786
Adana,Can Dondurma,ice_cream,,,,,,,,,,,37.0384061,35.2790821,"https://www.google.com/maps/search/?api=1&query=37.0384061,35.2790821",node/5732281862
Adana,Ceyhan Balkaymak Dondurma,ice_cream,,,,,,,,,,,37.0227784,35.8195242,"https://www.google.com/maps/search/?api=1&query=37.0227784,35.8195242",node/13092803455
Adana,Check Point,pub,,,,,,,,,,,37.0455316,35.3090181,"https://www.google.com/maps/search/?api=1&query=37.0455316,35.3090181",node/5253923021
Adana,Cigerci Mahmut 'vidoco',restaurant,,+90 322 458 85 95,,,Mo-Su 07:00-21:00,,,Ordu caddesi 36/A,,,36.9952002,35.3308664,"https://www.google.com/maps/search/?api=1&query=36.9952002,35.3308664",node/4255512989
Adana,Cihangir Kebap Kaburga,restaurant,turkish,+903222336060,https://www.cihangirkebap.com.tr/,,Mo-Su 10:00-02:00,,,81015 Sokak,Çukurova,Güzelyalı Mahallesi,37.0340108,35.3191800,"https://www.google.com/maps/search/?api=1&query=37.0340108,35.3191800",node/12620987993
Adana,Cinonun Yeri,restaurant,,,,,,,,,,,36.9750827,35.3350391,"https://www.google.com/maps/search/?api=1&query=36.9750827,35.3350391",node/5001018422
Adana,Ciğerci Kel Mahmut,restaurant,,,,,,,,,,,36.9847506,35.3386395,"https://www.google.com/maps/search/?api=1&query=36.9847506,35.3386395",node/10310262009
Adana,Ciğerci Mahmut,restaurant,turkish,+90 322 458 85 95,,,Mo-Su 07:00-21:00,,,Ordu Caddesi 36/A,,,36.9959943,35.3311350,"https://www.google.com/maps/search/?api=1&query=36.9959943,35.3311350",node/7083752987
Adana,ciğerci ulaş,restaurant,,,,,,,,,,,37.0460945,35.3065884,"https://www.google.com/maps/search/?api=1&query=37.0460945,35.3065884",node/6342899916
Adana,Corner No:14,pub,,,,,,,,,,,36.9975427,35.3254988,"https://www.google.com/maps/search/?api=1&query=36.9975427,35.3254988",node/13232660843
Adana,CP Piliç,fast_food,chicken,,,,,,,,,,37.0346428,35.2615888,"https://www.google.com/maps/search/?api=1&query=37.0346428,35.2615888",node/6838335097
Adana,Dafne Kebap Döner,restaurant,turkish,+903222347070,https://www.dafnedonerkebap.com/,,Mo-Su 08:00-22:00,,,Şehitler Bulvarı 70/A,Çukurova,Mahfesığmaz Mahallesi,37.0432508,35.3022140,"https://www.google.com/maps/search/?api=1&query=37.0432508,35.3022140",node/12621210169
Adana,Dardağan kebap,fast_food,kebab,,,,,,,,,,37.0559115,35.3596659,"https://www.google.com/maps/search/?api=1&query=37.0559115,35.3596659",node/642198497
Adana,Denizim Kebap Salonu,fast_food,kebab,,,,,,,,,,37.0312863,35.3154987,"https://www.google.com/maps/search/?api=1&query=37.0312863,35.3154987",node/7473590257
Adana,Dilber Cafe,cafe,,,,,,,,,,,37.0243080,35.3232874,"https://www.google.com/maps/search/?api=1&query=37.0243080,35.3232874",node/5001009130
Adana,Domino's,fast_food,pizza,,,,,,,,,,37.0235133,35.2810666,"https://www.google.com/maps/search/?api=1&query=37.0235133,35.2810666",node/3727395775
Adana,Dostlar Sofrası,restaurant,,,,,,,,,,,37.0423265,35.4299104,"https://www.google.com/maps/search/?api=1&query=37.0423265,35.4299104",node/7911881559
