mekan,il,tur,website,kaynak,kategori,kalem,fiyat
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Anneler Günü,Anneler Günü Kalpli Adet Pasta,199.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Anneler Günü,Anneler Günü Kalpli Cupcake,125.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Anneler Günü,Anneler Günü Ayıcıklı Cupcake,79.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Anneler Günü,Canım Annem Özel Pasta,1250.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Anneler Günü,Anneler Günü Kalp Pasta,1250.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Anneler Günü,Canım Annem Pasta,995.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Kadınlar Günü,Kadınlar Günü Ruj Adet Pasta,155.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Kadınlar Günü,Kadınlar Günü Adet Pasta,155.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Kadınlar Günü,Kadınlar Günü Cupcake,79.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Kadınlar Günü,Kadınlar Günü Pembe Cupcake,79.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Kadınlar Günü,Kadınlar Günü Pasta,465.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Kadınlar Günü,Kadınlar Günü Çiçek Pasta,715.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Kalpli Tavşanlı Adet Pasta,155.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Love Pasta,345.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Sevgililer Günü Kalpli Kurabiye,45.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Sevgililer Günü 12&#8217;li Macaron,395.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Sevgililer Günü 6&#8217;lı Macaron,195.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Kalpli Kutu Çikolata,295.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Sevgililer Günü Gül Pasta,1250.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Sevgililer Günü Kalpli Pasta,490.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Sevgililer Günü Adet Pasta,155.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Kalpli Adet Pasta,155.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Sevgililer Günü Cupcake,125.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Sevgililer Günü,Sevgililer Günü Kalpli Dikdörtgen Çikolata Kutusu,495.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Waffle &amp; Pankek,Çikolatalı Sufle,524.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Ana Yemekler, Etli Menüler",Hardal Soslu Steak,1099.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Kahvaltı, Tost",Kavurmalı Tost,529.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yeni Yıl,Kokina Yeni Yıl Pasta,525.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Pasta, Yeni Yıl",Kardan Adam Yeni Yıl Pasta,1075.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yeni Yıl,Fıstık Drajeli Kozalak Süslemeli Yeni Yıl Naked Pasta,1275.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Yaş Pastalar, Yeni Yıl",Fıstık Drajeli Yeni Yıl Naked Pasta,685.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Yeni Yıl,Fıstık Drajeli Nar Süslemeli Yeni Yıl Naked Pasta,1275.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Öğretmenler Günü,Uğur Böceği Pasta,525.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Öğretmenler Günü,Öğretmenler Günü Cupcake,59.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,Öğretmenler Günü,Öğretmenler Günü Pasta,995.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Pasta, Yaş Pastalar",Çikolatalı Vişneli Pasta,365.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Pasta, Yaş Pastalar",Çikolatalı Vişneli Pasta,950.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Pasta, Yaş Pastalar",Çilek Rüyası Pasta,365.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Hamburger, Yemek",Mix Burger,699.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Makarna, Yemek",Penne Puttanesca,459.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Hamburger, Yemek",Çıtır Steak  Burger,639.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Salata, Yemek",Peynirli Chia Salata,474.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Sandviç, Yemek",Cheesesteak Sandviç,649.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Bowl, Yemek",Mexican Bowl,859.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Kahvaltı, Kahvaltı Tabağı",Kaşarlı Menemen,399.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"Pasta, Yaş Pastalar",Beyaz Kremalı Frambuazlı Pasta,365.00
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"İçecekler, Soğuk Kahveler",Ice Latte Karamel Bubble Tea,249.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"İçecekler, Soğuk Kahveler",Ice Mocha Çikolata Bubble,249.50
Elizinn,,cafe,https://www.elizinn.com.tr,woo,"İçecekler, Soğuk Kahveler",Ice Mocha,229.50
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",DEREOTLU POĞAÇA,75.00
