mekan_id,il,mekan_ad,adres,yazar,lisans,kaynak_bag
way/455450081,36,Kars Müzesi̇,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Kars_museum%2C_Turkey_02.jpg/1280px-Kars_museum%2C_Turkey_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Jaba1977,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Kars_museum,_Turkey_02.jpg"
node/12025416061,38,Kayseri Arkeoloji Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Kayseri_Archaeological_Museum_General_view_in_2023_5154.jpg/1280px-Kayseri_Archaeological_Museum_General_view_in_2023_5154.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Dosseman,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Kayseri_Archaeological_Museum_General_view_in_2023_5154.jpg
relation/7641623,38,Gevher Nesibe Medresesi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Gevher_Nesibe_Medrese_%28Cifte_Medrese%29_DSCF0761.jpg/1280px-Gevher_Nesibe_Medrese_%28Cifte_Medrese%29_DSCF0761.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,R Prazeres,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Gevher_Nesibe_Medrese_(Cifte_Medrese)_DSCF0761.jpg
way/584248854,39,Ali Rıza Efendi Kültür Evi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Ali_R%C4%B1za_Efendi_K%C3%BClt%C3%BCr_Evi_-_01.jpg/1280px-Ali_R%C4%B1za_Efendi_K%C3%BClt%C3%BCr_Evi_-_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Alicembasli,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Ali_R%C4%B1za_Efendi_K%C3%BClt%C3%BCr_Evi_-_01.jpg
way/584248875,39,Kırklareli Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/K%C4%B1rklareliMuseum_%281%29.JPG/1280px-K%C4%B1rklareliMuseum_%281%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CeeGee,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:K%C4%B1rklareliMuseum_(1).JPG
way/1428258344,39,Durak Lokantası,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/D%C3%BCkkan_%28Karaka%C5%9F%2C_T%C4%B1rnova_Caddesi%2C_2%29_-_20250601144249.jpg/1280px-D%C3%BCkkan_%28Karaka%C5%9F%2C_T%C4%B1rnova_Caddesi%2C_2%29_-_20250601144249.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Sadrettin,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:D%C3%BCkkan_(Karaka%C5%9F,_T%C4%B1rnova_Caddesi,_2)_-_20250601144249.jpg"
way/173068033,41,TCG Gayret,https://upload.wikimedia.org/wikipedia/commons/6/66/Gayret_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Kerem Barut (en:User:KeRR in English Wikipedia),CC BY 2.5,https://commons.wikimedia.org/wiki/File:Gayret_Museum.jpg
way/223406450,41,Kasr-ı Hümayün Av Köşkü,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Kasr%C4%B1_H%C3%BCmayun_%281%29_06.jpg/1280px-Kasr%C4%B1_H%C3%BCmayun_%281%29_06.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Kocaeligönüllüsü,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Kasr%C4%B1_H%C3%BCmayun_(1)_06.jpg
way/356164174,41,Faruk Yalçın Hayvanat Bahçesi ve Botanik Parkı,https://upload.wikimedia.org/wikipedia/commons/f/f0/Faruk_Yalcin_Zoo_Kocaeli.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Elelicht,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Faruk_Yalcin_Zoo_Kocaeli.JPG
way/1154009694,41,İzmit Deprem Farkındalık ve Anma Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Izmit_deprem_m%C3%BCzesi_%281%29_04.jpg/1280px-Izmit_deprem_m%C3%BCzesi_%281%29_04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Kocaeligönüllüsü,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Izmit_deprem_m%C3%BCzesi_(1)_04.jpg
way/1157956158,41,Seka Mehmet Ali Kağıtçı Kağıt Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/SEKA_Ka%C4%9F%C4%B1t_M%C3%BCzesi.jpg/1280px-SEKA_Ka%C4%9F%C4%B1t_M%C3%BCzesi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Cobija,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:SEKA_Ka%C4%9F%C4%B1t_M%C3%BCzesi.jpg
way/1340311843,41,Yarhisar Gemisi Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Yarhisargemi.jpg/1280px-Yarhisargemi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,UcuncuUlus,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Yarhisargemi.jpg
node/2654297042,42,Ereğli Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Ere%C4%9Fli_Museum.jpg/1280px-Ere%C4%9Fli_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Nedim Ardoğa,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Ere%C4%9Fli_Museum.jpg
way/264740887,42,İnce Minare Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Ince_Minareli_Medrese_01.jpg/1280px-Ince_Minareli_Medrese_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Bernard Gagnon,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Ince_Minareli_Medrese_01.jpg
way/281983893,42,İzzet Koyunoğlu Şehir Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Konya_%C4%B0zzet_Koyuno%C4%9Flu_%C5%9Eehir_M%C3%BCzesi_Ottoman_interior_3384.jpg/1280px-Konya_%C4%B0zzet_Koyuno%C4%9Flu_%C5%9Eehir_M%C3%BCzesi_Ottoman_interior_3384.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Dosseman,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Konya_%C4%B0zzet_Koyuno%C4%9Flu_%C5%9Eehir_M%C3%BCzesi_Ottoman_interior_3384.jpg
way/290648759,42,Atatürk Evi Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Konya_Atat%C3%BCrk_Evi_M%C3%BCzesi.jpg/1280px-Konya_Atat%C3%BCrk_Evi_M%C3%BCzesi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Mkurtel,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Konya_Atat%C3%BCrk_Evi_M%C3%BCzesi.jpg
way/366780475,42,Konya Arkeoloji Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Konya_Archaeological_Museum%2C_Turkey_03.jpg/1280px-Konya_Archaeological_Museum%2C_Turkey_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Murat Özsoy 1958,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Konya_Archaeological_Museum,_Turkey_03.jpg"
way/441675118,42,Batı Cephesi Karargahı müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/M%C3%BCze_03.jpg/1280px-M%C3%BCze_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Nabbegat,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:M%C3%BCze_03.jpg
